".rownames","Temp","Temp.predict.All.X.glm","Temp.predict.All.X.glm.err","Temp.predict.All.X.glm.accurate"
"285",0.601,0.503138287182024,0.0978617128179757,FALSE
"286",0.498,0.459800372513705,0.0381996274862946,FALSE
"287",0.435,0.431694166807722,0.00330583319227812,FALSE
"288",0.466,0.442906918620925,0.0230930813790748,FALSE
"289",0.372,0.441022434264985,0.0690224342649847,FALSE
"290",0.382,0.395728139825605,0.0137281398256049,FALSE
"291",0.394,0.397509555478506,0.00350955547850618,FALSE
"292",0.358,0.382975921943452,0.0249759219434518,FALSE
"293",0.402,0.325534996539507,0.0764650034604926,FALSE
"294",0.362,0.31547130095094,0.04652869904906,FALSE
"295",0.266,0.31213657000585,0.0461365700058499,FALSE
"296",0.226,0.312319115737578,0.0863191157375777,FALSE
"297",0.074,0.37871367396965,0.30471367396965,FALSE
"298",0.198,0.346907203407676,0.148907203407676,FALSE
"299",0.447,0.323500716096428,0.123499283903572,FALSE
"300",0.278,0.368946896499239,0.0909468964992387,FALSE
"301",0.283,0.415082583749541,0.132082583749541,FALSE
"302",0.315,0.428832410587878,0.113832410587878,FALSE
"303",0.406,0.415920900358756,0.00992090035875604,FALSE
"304",0.407,0.392981768611487,0.0140182313885133,FALSE
"305",0.378,0.361631995043569,0.0163680049564314,FALSE
"306",0.44,0.345738283846128,0.0942617161538716,FALSE
"307",0.394,0.358391029032411,0.0356089709675892,FALSE
"308",0.33,0.347653394292178,0.0176533942921777,FALSE
